#,Status,Name,Preview,Filled,Animated,Category,Creative Freedom,Brief,Keywords
351,To Do,backpack,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/351-backpack.png"")",FALSE,FALSE,Categories,,,"backpack, bag, school, travel, mochila, knapsack, rucksack"
352,To Do,checked_baggage,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/352-checked_baggage.png"")",FALSE,FALSE,Categories,,,"baggage, luggage, suitcase, checked, travel, airport, mala, bagagem"
353,To Do,carry_on_bag,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/353-carry_on_bag.png"")",FALSE,FALSE,Categories,,,"carry on, cabin bag, trolley, luggage, travel, airport, bagagem de mão"
354,To Do,cloche,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/354-cloche.png"")",FALSE,FALSE,Categories,,,"cloche, food cover, dining, restaurant, meal, service, tray, food"
355,To Do,split,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/355-split.png"")",FALSE,FALSE,Financial,,,"split, divide, share, bill, payment, rachar, divisão, transfer"
356,To Do,rosetta_stone,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/356-rosetta_stone.png"")",FALSE,FALSE,Objects,,,"rosetta, stone, translation, language, i18n, localization, dictionary"
357,To Do,type,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/357-type.png"")",FALSE,FALSE,UI Actions,,,"type, text, typography, font, keyboard, write, editing"
358,To Do,figma_logo,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/358-figma_logo.png"")",FALSE,FALSE,Logos,,,"figma, logo, design, brand, tool"
359,To Do,pr,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/359-pr.png"")",FALSE,FALSE,Objects,,,"pr, pull request, github, code, review, merge, development"
360,To Do,scan,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/360-scan.png"")",FALSE,FALSE,System,,,"scan, scanner, qr, barcode, camera, capture, document"
361,To Do,document_check,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/361-document_check.png"")",FALSE,FALSE,Objects,,,"document, check, verified, approve, file, paper, validation, done"
362,To Do,pill,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/362-pill.png"")",FALSE,FALSE,Categories,,,"pill, medicine, capsule, health, pharmacy, drug, medication"
363,To Do,scissors,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/363-scissors.png"")",FALSE,FALSE,Objects,,,"scissors, cut, trim, craft, tool, tesoura, crop"
364,To Do,backspace,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/364-backspace.png"")",FALSE,FALSE,UI Actions,,,"backspace, delete, erase, keyboard, remove, clear"
365,To Do,newspaper,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/365-newspaper.png"")",FALSE,FALSE,Objects,,,"newspaper, news, press, media, article, jornal, reading"
366,To Do,vault_wheel,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/366-vault_wheel.png"")",FALSE,FALSE,Financial,,,"vault, safe, security, wheel, lock, bank, protection, cofre"
367,To Do,cake,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/367-cake.png"")",FALSE,FALSE,Categories,,,"cake, birthday, celebration, dessert, party, bolo, candle"
368,To Do,chest,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/368-chest.png"")",FALSE,FALSE,Objects,,,"chest, treasure, box, storage, baú, loot, reward"
369,To Do,box,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/369-box.png"")",FALSE,FALSE,Objects,,,"box, package, parcel, delivery, shipping, caixa, packing"
370,To Do,grave,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/370-grave.png"")",FALSE,FALSE,Categories,,,"grave, tombstone, cemetery, death, memorial, rip, lápide"
