Rank,Name,Preview,File
1,house,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/001-house.png"")",001-house.png
2,rewards,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/002-rewards.png"")",002-rewards.png
3,calendar,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/003-calendar.png"")",003-calendar.png
4,nu_tag,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/004-nu_tag.png"")",004-nu_tag.png
5,smartphone,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/005-smartphone.png"")",005-smartphone.png
6,card,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/006-card.png"")",006-card.png
7,more_horizontal,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/007-more_horizontal.png"")",007-more_horizontal.png
8,microphone,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/008-microphone.png"")",008-microphone.png
9,visibility_on,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/009-visibility_on.png"")",009-visibility_on.png
10,search,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/010-search.png"")",010-search.png
11,money_box,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/011-money_box.png"")",011-money_box.png
12,airplane,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/012-airplane.png"")",012-airplane.png
13,crypto,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/013-crypto.png"")",013-crypto.png
14,portfolio,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/014-portfolio.png"")",014-portfolio.png
15,shopping_bag,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/015-shopping_bag.png"")",015-shopping_bag.png
