#,Status,Name,Preview,Filled,Animated,Category,Creative Freedom,Brief,Keywords,FigmaPath,Style,NodeId,HasOutlined,HasFilled,File
140,To Do,bar_code_search,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/140-bar_code_search.png"")",FALSE,FALSE,Financial,,,,outlined/financial/other/bar_code_search,outlined,147:1808,True,False,140-bar_code_search.png
141,To Do,car,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/141-car.png"")",FALSE,FALSE,Objects,,,,outlined/objects/transport/car,outlined,147:1727,True,False,141-car.png
142,To Do,calculator,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/142-calculator.png"")",FALSE,FALSE,Financial,,,,outlined/financial/other/calculator,outlined,147:1985,True,False,142-calculator.png
143,To Do,sort,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/143-sort.png"")",FALSE,FALSE,UI Actions,,,,outlined/ui actions/common actions/sort,outlined,147:1573,True,False,143-sort.png
144,To Do,private_banker,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/144-private_banker.png"")",TRUE,FALSE,Products,,,,filled/products/private_banker,filled,9971:2319,False,True,144-private_banker.png
145,To Do,sentiment_very_satisfied,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/145-sentiment_very_satisfied.png"")",FALSE,FALSE,Actions,,,,outlined/actions/feedbacks/sentiment_very_satisfied,outlined,147:1567,True,False,145-sentiment_very_satisfied.png
146,To Do,attachment,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/146-attachment.png"")",FALSE,FALSE,UI Actions,,,,outlined/ui actions/common actions/attachment,outlined,147:1549,True,False,146-attachment.png
147,To Do,user_inside,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/147-user_inside.png"")",FALSE,FALSE,Objects,,,,outlined/objects/security/user_inside,outlined,147:1715,True,False,147-user_inside.png
148,To Do,sunset,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/148-sunset.png"")",FALSE,FALSE,Objects,,,,outlined/objects/time/sunset,outlined,23573:2055,True,False,148-sunset.png
149,To Do,locker,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/149-locker.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/locker,outlined,7791:2322,True,False,149-locker.png
