#,Status,Name,Preview,Filled,Animated,Category,Creative Freedom,Brief,Keywords
140,To Do,bar_code_search,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/140-bar_code_search.png"")",FALSE,FALSE,Financial,,,"barcode, search, find, payment, boleto, buscados, localizar, pagamento, DDA"
141,To Do,car,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/141-car.png"")",FALSE,FALSE,Objects,,,"transport, vehicle, short"
142,To Do,calculator,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/142-calculator.png"")",FALSE,FALSE,Financial,,,"balance, simulate, simulation, test, try, calculate, math"
143,To Do,sort,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/143-sort.png"")",FALSE,FALSE,UI Actions,,,"filter, funnel"
144,To Do,private_banker,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/144-private_banker.png"")",TRUE,FALSE,Products,,,"private banker, pb, private, lila"
145,To Do,sentiment_very_satisfied,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/145-sentiment_very_satisfied.png"")",FALSE,FALSE,Actions,,,"emoji, smiley, emotion, face, happy, smile, lauch, amazed, joyful, overjoyed"
146,To Do,attachment,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/146-attachment.png"")",FALSE,FALSE,UI Actions,,,"file, office, clip, anexo"
147,To Do,user_inside,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/147-user_inside.png"")",FALSE,FALSE,Objects,,,"modo rua, house, home, person"
148,To Do,sunset,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/148-sunset.png"")",FALSE,FALSE,Objects,,,"sunset, afternoon, twilight, nightfall, fim do dia, tarde, crepúsculo, sundown, golden hour"
149,To Do,locker,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/149-locker.png"")",FALSE,FALSE,Categories,,,"security, segurança, seguridad, armario, almacenamiento, armazenamento"
150,To Do,test_tube,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/150-test_tube.png"")",FALSE,FALSE,Objects,,,"tube, test, blood, lab"
151,To Do,phone_down,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/151-phone_down.png"")",FALSE,FALSE,System,,,"call, end, hang up, hang off"
152,To Do,buildings,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/152-buildings.png"")",FALSE,FALSE,Objects,,,"office, city, flat, neighborhood, imóvel, real estate, investimento, imobiliário, fiis, fii, fundo, equities, equity"
153,To Do,water,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/153-water.png"")",FALSE,FALSE,Categories,,,"bill, drop, moist"
154,To Do,lightbulb,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/154-lightbulb.png"")",FALSE,FALSE,Categories,,,"idea, lamp, electricity, bill"
155,To Do,christ_the_redeemer,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/155-christ_the_redeemer.png"")",FALSE,FALSE,Categories,,,"tourism, turismo, brasil, brazil, monumento, paisaje"
156,To Do,business,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/156-business.png"")",FALSE,FALSE,Objects,,,"business, conta pj, bussiness account"
157,To Do,user_email,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/157-user_email.png"")",FALSE,FALSE,Human,,,"person, avatar, profile, message, letter, invitation, invite, mail, mgm"
158,To Do,trophy,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/158-trophy.png"")",FALSE,FALSE,Objects,,,"prize, award, success, gift, champion, competition, winner, sports, achievement, reward"
159,To Do,car_settings,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/159-car_settings.png"")",FALSE,FALSE,Objects,,,"transport, vehicle, short, cog, adjustments, configuration, nut"
160,To Do,ribbon,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/160-ribbon.png"")",FALSE,FALSE,Objects,,,"ribbon, death, reminder"
161,To Do,bus,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/161-bus.png"")",FALSE,FALSE,Objects,,,"ônibus, transport, travel, veículo, vehicle, big, tall"
162,To Do,paw,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/162-paw.png"")",FALSE,FALSE,Categories,,,"pets, cats, dogs, animais, estimação"
163,To Do,popcorn,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/163-popcorn.png"")",FALSE,FALSE,Categories,,,"movie, cinema, cine, palomitas, snack, filme, pipoca"
164,To Do,nu-id,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/164-nu-id.png"")",FALSE,FALSE,Financial,,,
165,To Do,drag_arrows,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/165-drag_arrows.png"")",FALSE,FALSE,UI Actions,,,"open, expand, more, chevron, show"
166,To Do,horizontal_card_transfer_limits,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/166-horizontal_card_transfer_limits.png"")",FALSE,FALSE,Financial,,,"cartão, roxinho, moradita, tarjeta, arrows"
167,To Do,toll,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/167-toll.png"")",FALSE,FALSE,Objects,,,"car, parking lot, ticket gate, vehicle"
168,To Do,placeholder,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/168-placeholder.png"")",FALSE,FALSE,Actions,,,"dotted, square, empty"
169,To Do,passport,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/169-passport.png"")",FALSE,FALSE,Categories,,,"document, documento, pasaporte, identidad, viaje"
